,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
13,reputation,4,10078,36239904,14904,2,10334,472495,20,25765
14,reputation,1,10078,33599405,14904,0,10334,472495,13,25765
21,reputation,0,3,37377764,12018,0,3831,1502079,14,1483
22,reputation,0,3,37631286,12018,0,3831,1502079,18,1483
23,reputation,0,39,37396772,6776,0,712,1072846,19,411
28,reputation,0,0,32756746,5686,0,510,233602,10,492
87,reputation,0,30,30904204,11730,0,1017,373962,13,920
92,reputation,0,50,36448739,24856,2,1539,90998,18,3104
171,reputation,0,226,32904234,13447,0,1270,777733,10,795
172,reputation,0,226,36594706,13447,0,1270,777733,19,795
173,reputation,9,226,37746267,13447,0,1270,777733,20,795
188,reputation,0,15,36080273,6638,1,826,636348,17,613
211,reputation,0,10,8236516,10723,0,29,177511,20,746
219,reputation,0,47,31539633,12329,0,333,1081340,18,1286
262,reputation,0,128,37117857,6449,0,4840,232794,19,579
263,reputation,0,128,20968916,6449,1,4840,232794,15,579
266,reputation,0,85,37436099,6437,0,866,1072492,18,824
267,reputation,5,391,31609540,6880,0,1324,64505,18,823
268,reputation,1,391,32248038,6880,1,1324,64505,20,823
269,reputation,0,391,37755781,6880,1,1324,64505,13,823
270,reputation,0,391,35985110,6880,0,1324,64505,16,823
271,reputation,0,391,31791237,6880,0,1324,64505,14,823
272,reputation,1,391,30897947,6880,0,1324,64505,14,823
378,reputation,0,542,33916406,21766,0,1793,138601,10,1593
379,reputation,1,542,31986551,21766,0,1793,138601,6,1593
380,reputation,4,542,11701164,21766,1,1793,138601,14,1593
381,reputation,3,542,33780531,21766,0,1793,138601,16,1593
424,reputation,3,49,37413576,6421,0,485,514438,18,885
425,reputation,0,49,23957655,6421,0,485,514438,17,885
451,reputation,0,2,31569298,5374,0,239,1771017,15,110
455,reputation,6,28,36629639,5549,0,58,1967601,18,120
472,reputation,0,48,32712577,29437,0,671,26414,19,3020
495,reputation,0,117,27007177,41861,0,1090,665261,10,3130
533,reputation,0,11,33697660,17096,0,173,4196,15,732
534,reputation,0,15,36942687,5639,1,876,848330,17,410
572,reputation,1,58,35537187,5902,0,1700,526495,17,504
578,reputation,0,82,35622289,20807,0,4920,1205871,14,2144
591,reputation,0,18,33520448,11770,0,697,920568,20,1657
